Date,Price,Open,High,Low,Vol,Change
8-Mar-23,1553.49,1561.79,1569.7,1548.98,498570,-0.53
7-Mar-23,1561.78,1565.84,1580.95,1536.31,460100,-0.26
6-Mar-23,1565.84,1564.36,1581.13,1555.43,322160,0.09
5-Mar-23,1564.37,1566.73,1587.95,1556.84,313010,-0.15
4-Mar-23,1566.73,1569.45,1577.02,1550.1,247020,-0.14
3-Mar-23,1568.89,1647.86,1649.19,1547.61,783740,-4.76
2-Mar-23,1647.38,1666.09,1677.45,1620.2,440630,-1.12
1-Mar-23,1666.09,1604.69,1668.55,1595.4,497120,3.83
28-Feb-23,1604.69,1633.66,1646.33,1598.67,411490,-1.77
27-Feb-23,1633.66,1641.59,1664.98,1609.82,458530,-0.48
26-Feb-23,1641.6,1594.66,1648.77,1588.65,326580,2.94
25-Feb-23,1594.66,1608.24,1608.62,1562.1,309290,-0.84
24-Feb-23,1608.24,1650.52,1663.82,1579.68,548070,-2.56
23-Feb-23,1650.52,1643.39,1678.2,1630.94,529750,0.43
22-Feb-23,1643.39,1659.41,1666.39,1600.79,560400,-0.97
21-Feb-23,1659.41,1703.29,1716.35,1637.16,554520,-2.58
20-Feb-23,1703.27,1681.49,1719.1,1651.54,478590,1.29
19-Feb-23,1681.52,1691.62,1722.28,1670.97,427000,-0.6
18-Feb-23,1691.62,1693.96,1708.87,1681.17,283510,-0.14
17-Feb-23,1693.96,1640.66,1720.06,1631.92,617210,3.25
16-Feb-23,1640.66,1675.43,1738.87,1634.97,894270,-2.08
15-Feb-23,1675.43,1555.45,1676.94,1542.8,627070,7.71
14-Feb-23,1555.46,1505.85,1565.2,1494.3,705280,3.29
13-Feb-23,1505.84,1515.44,1525.56,1464.1,681850,-0.63
12-Feb-23,1515.44,1538.34,1547.3,1495.05,302730,-1.49
11-Feb-23,1538.34,1513.12,1542.64,1508.07,306240,1.62
10-Feb-23,1513.82,1545.35,1554.19,1499.49,523330,-2.04
9-Feb-23,1545.35,1650.97,1655.96,1530.98,702210,-6.4
8-Feb-23,1650.99,1671.39,1694.28,1631.15,447570,-1.22
7-Feb-23,1671.4,1613.72,1676.83,1613.2,481910,3.57
6-Feb-23,1613.72,1629.44,1657.75,1606.59,401030,-0.96
5-Feb-23,1629.44,1666.9,1671.88,1612.7,435140,-2.25
4-Feb-23,1666.9,1663.78,1694.58,1646.11,328660,0.19
3-Feb-23,1663.79,1641.7,1673.59,1628.73,489790,1.34
2-Feb-23,1641.71,1642.1,1710.27,1632.39,685270,-0.02
1-Feb-23,1642.1,1585.27,1647.27,1560.18,505440,3.59
31-Jan-23,1585.27,1566.5,1602.03,1562.04,368940,1.2
30-Jan-23,1566.5,1645.97,1647.25,1540.25,630550,-4.83
29-Jan-23,1645.97,1572.13,1657.19,1566.9,595670,4.63
28-Jan-23,1573.07,1597.61,1605.96,1561.24,332620,-1.54
27-Jan-23,1597.6,1602.54,1620.15,1560.21,533750,-0.31
26-Jan-23,1602.55,1611.2,1629.89,1581.76,552260,-0.54
25-Jan-23,1611.2,1555.97,1638.97,1523.71,681590,3.54
24-Jan-23,1556.15,1626.52,1641.17,1539.51,493470,-4.33
23-Jan-23,1626.53,1627.04,1643.82,1591.9,436570,-0.03
22-Jan-23,1627.03,1626.66,1662.13,1609.32,456360,0.09
21-Jan-23,1625.53,1659.96,1678.27,1622.89,523340,-2.08
20-Jan-23,1659.98,1551.12,1662.26,1543.21,472150,6.98
19-Jan-23,1551.62,1511.35,1560.7,1510.65,329040,2.67
18-Jan-23,1511.31,1564.66,1604.74,1505.37,801710,-3.41
17-Jan-23,1564.67,1576.94,1603.32,1544.45,536730,-0.78
